depot_id;vendor;modelHardware;id_unit;technician;Lon;gatewayId;address_mac;installDate;ipv4;signal_dbm;lastSeen;Lat;firmware_version
52;Pinho Lopes Lda.;GWX-200;1739;Irina Leal;-6.34286;GW-00000;c0:f5:84:f8:08:41;2024/06/06;188.32.87.90;-65.20000;10/10/2024, 00:00:00;40.57291;v2.7.0
113;Christoph GmbH;GWX-100;103;Carminho Fonseca;-6.61695;GW-00001;30:db:d5:75:e1:e2;12/10/2021, 00:00:00;132.117.107.236;-78.70000;2024-04-26;39.47290;v1.2.5
112;Rädel Löwer AG;GWX-100;13;Dr. Marc Robinson;-7.48817;GW-00002;cd:c6:2c:7f:93:2e;2024-04-21;114.142.159.228;-74.90000;04 Nov 2024;39.16074;v1.2.5
104;Roy and Sons;NODE-9;1344;Ryan Rios;-8.59568;GW-00003;d5:03:c8:7c:50:b4;12/03/2022, 00:00:00;164.198.143.169;-68.30000;25 Jan 2025;39.01984;v1.2.5
36;Christoph GmbH;GWX-100;1324;César da Neto;-9.18714;GW-00004;93:41:75:8f:f1:d5;15 May 2018;65.233.19.254;-52.20000;2024-08-06;39.47786;v1.2.5
81;Christoph GmbH;GWX-200;1606;Angela Bridges;-8.59039;GW-00005;20:7d:f7:d5:5e:aa;2017/07/08;64.187.14.132;-68.90000;2024/07/23;41.13308;v2.7.0
98;Gibbs, Scott and Moore;NODE-9;700;Ivan Reis-Branco;-7.30606;GW-00006;e2:05:57:da:37:f3;04/17/2024, 00:00:00;209.27.107.192;-65.40000;13 Jun 2024;40.19596;v1.2.5
2;Ribeiro;GWX-300;349;Micael Branco-Pinto;-7.59420;GW-00007;fa:e8:c7:2d:79:4d;12/04/2022, 00:00:00;193.146.96.87;-76.80000;2024-04-14;40.91036;v3.4.1
72;Hofmann Bender GmbH;GWX-200;1429;Gero Bärer;-8.51330;GW-00008;4a:7c:27:f5:71:e9;05 Jun 2021;0.3.146.123;-58.20000;18 Dec 2024;40.72995;v2.7.0
52;Gutknecht Stiftung & Co. KG;NODE-9;34;Bob Brooks;-7.11560;GW-00009;fa:7e:f7:00:22:9a;2023/05/10;78.37.118.34;-62.70000;2024/01/07;39.59758;v2.7.0
101;Hövel Jopich KG;GWX-100;55;Dipl.-Ing. Sybilla Ackermann B.A.;-6.80074;GW-00010;14:be:0a:81:ef:a4;2020-10-14;203.129.50.254;-58.00000;2024/07/28;41.29254;v1.2.5
51;James PLC;NODE-9;1688;Dr. Mariola Henschel MBA.;-7.91708;GW-00011;a5:38:79:41:43:2b;2019-12-31;64.228.133.8;-73.20000;2024/04/05;41.15480;v2.7.0
20;Hernandez, Malone and Smith;NODE-9;1207;Gero Bärer;-6.95241;GW-00012;01:56:bb:9c:74:9e;05 Oct 2023;238.18.102.147;-64.10000;07/04/2024, 00:00:00;40.16636;v1.2.5
104;Teixeira;GWX-200;1503;John Moore;-9.19165;GW-00013;7c:e0:7c:85:9a:f9;2022/03/30;171.145.76.187;-90.90000;03/18/2024, 00:00:00;40.61082;v3.4.1
72;Mangold GbR;NODE-7;1103;Gunter Scholl B.A.;-7.14198;GW-00014;19:48:df:65:c3:77;2019/07/08;138.80.229.45;-54.20000;06/30/2024, 00:00:00;38.72902;v2.7.0
57;Becker, Sanchez and Crawford;GWX-100;1078;Dr. Zita Keudel;-7.33011;GW-00015;8c:16:5f:91:bf:28;05/18/2024, 00:00:00;35.33.11.40;-76.10000;2025/01/12;39.27477;v2.7.0
20;Hofmann Bender GmbH;NODE-9;1596;Univ.Prof. Kai-Uwe Dowerg B.Eng.;-7.50402;GW-00016;c2:49:18:55:bb:af;05 Jul 2017;1.72.195.166;-60.50000;2024/02/08;40.46965;v3.4.1
18;Gibbs, Scott and Moore;GWX-300;56;Univ.Prof. Kai-Uwe Dowerg B.Eng.;-8.74393;GW-00017;b3:69:e9:53:db:fa;07 Nov 2017;6.34.71.156;-69.40000;2024/08/06;40.19518;v3.4.1
56;Pinho Lopes Lda.;GWX-100;1218;Blake Smith;-7.83252;GW-00018;06:1e:60:f6:d7:ea;2015-09-06;127.140.226.63;-73.70000;2024/06/03;41.31510;v2.7.0
43;Trapp Langern OHG mbH;GWX-200;82;Kata Eckbauer;-8.24295;GW-00019;0e:af:14:af:28:ea;02/27/2020, 00:00:00;0.82.190.44;-64.00000;03/15/2024, 00:00:00;41.18448;v2.7.0
40;Zobel;GWX-100;1860;Artur Fernandes;-7.52712;GW-00020;1b:67:5d:05:c8:e3;2022/01/13;110.189.169.154;-65.30000;15 Aug 2024;39.99897;v3.4.1
108;Teixeira;GWX-300;1666;Erika Antunes;-8.22665;GW-00021;30:68:40:e5:57:c5;2022-09-11;241.19.177.105;-69.40000;08/08/2024, 00:00:00;39.84699;v1.2.5
97;Carter, Kim and Allen;NODE-9;827;Vicente do Batista;-7.87760;GW-00022;21:5f:f6:6f:d9:59;2018/08/05;108.143.182.191;-66.40000;2024-03-13;40.98935;v1.2.5
59;Carter, Kim and Allen;GWX-300;1073;Dr. Marc Robinson;-8.08950;GW-00023;4b:da:80:d4:3c:0b;12/22/2019, 00:00:00;146.128.47.148;-81.40000;2024/06/15;40.84977;v2.7.0
