id_unit	cycleTs	currentMotor	dpFilter	oilTemperature	reservoirPressure	pressureOil	rms_vibration	flowmeter	humidity_intake	noiseAmbient	dischargeDewpoint	Failure
U00193	08/27/2023, 06:29:00	4.05968	18.69811	64.86904	8.81915	3.75608	2.42950	27.70488	71.41778	71.88633	15.83173	0
U00757	2023/11/13	2.36328	49.17312	51.49558	8.07426	3.30342	4.46937	26.57501	65.59907	69.74589	11.00633	1
U01997	2023-11-26	7.33857	11.09040	48.07975	9.78198	4.56246	6.87273	32.19223	79.35666	78.22245	6.20960	0
U01633	2023-02-22	5.69969	19.58462	73.09699	9.65227	4.35662		27.33163	62.12112	72.77351	5.18222	1
U00467	01/23/2023, 03:45:00	3.92084	22.86953	64.31103	8.68221	3.62936	6.36960	29.46377	43.40507	73.24571	6.12806	0
U00570	2023-01-05	3.43987	23.94609	64.08144	8.79317	3.19380	2.14679	26.72706	61.31043	68.37873	8.54803	0
U01320	2023-05-12	4.50435	40.40097	59.60932	8.16200	3.32302	2.10598	29.04525	39.82694	76.86145	12.62784	0
U01656	2023-01-09	8.58240	17.53647	52.64378	8.27896	3.24813	1.67535	29.11439	80.34672	60.27230	10.32122	0
U00226	24 May 2023	3.34288	16.48198	65.61525	8.34485	3.48158	3.74190	24.69135	12.11621	72.85288	3.51919	0
U01949	09 Oct 2023	5.87836	8.99563	47.27992	8.50327	3.64187	3.68814	28.55263	65.33142	86.32447	7.82172	1
U00215	02/24/2023, 11:59:00	6.57230	21.87144	51.52472	8.06441	3.61414	1.72384	30.11637		75.52126	10.34800	0
U01440	2023/05/23	6.91480	13.79957	62.00163	8.22166	3.59868	1.93657	30.66603	20.38429	75.01057	3.87730	0
U01312	2023-06-11	3.02991	31.93442	63.39112	9.68415	4.19870	1.25602	24.31950	84.11628	72.53094	6.66414	0
U01698	2023-03-04	8.23155	20.38484	34.31320	8.49719	3.40124	5.40408	32.03421	10.48401	78.69553	13.32006	0
U01362	04/01/2023, 01:23:00	5.92409	13.26680	54.54411	9.08597	4.27410	2.14758	24.00877	77.43907	69.24234	2.86232	0
U00242	02 May 2023	4.08262	17.91178	45.92500	8.67418	3.38244	1.37465	33.94567	31.26739	72.26516	10.84312	0
U00354	2023/12/21	3.99261	10.13503	51.78963	8.62004	4.04356	6.08887	32.36302	59.83195	85.22982	4.77476	0
U00357	2023/10/31	4.52226	16.33987	49.71340	9.13785	4.48158	2.24829	29.48085	28.04464	64.48175	11.98973	0
U01581	2023-07-23	2.82531	21.50615	65.56412	9.42039	4.47817	1.74976	34.00658	22.65181	78.60326	8.24104	0
U00512	28 Feb 2023	3.55437	24.78371	59.94209	9.15560	4.17492	4.29386	35.21037	41.81047	75.22922	3.63974	0
U00031	2023-07-27	6.12573	23.58606	45.81161	9.06119	3.85000	5.68691	29.11492	48.57849	69.20038	10.14325	0
U01194	12/08/2023, 03:18:00	7.23158	10.30052	85.99558	8.73484	3.47519	2.42743	32.21035	41.23145	66.67935	8.55606	0
U01521	20 Jun 2023	6.50577	31.45287	60.73486	8.96568	4.31934	2.91314	32.78670	20.55115	73.87158	12.75251	0
U01368	2023-02-19	2.62412	17.98248	50.62119	7.87532	2.81003	1.43347	29.28738	36.19938	73.06260	1.06279	0
U00711	2023/01/12	7.45682	56.35885	55.27961	8.86745	4.13891		30.85812	33.95737	67.98468	11.96591	0
U00127	26 Jul 2023	3.27560	18.30909	65.43777	9.70602	4.80540	2.36688	26.99341	83.27923	66.36495	7.91836	0
U00542	2023-05-19	7.26526	22.96082	38.66544	9.62165	4.14389	2.09728	27.92917	72.69463	78.79651	11.89258	0
U01533	2023-06-26	5.69695	17.10344	49.28562	8.14201	3.15206	9.42912	32.91595	83.26331	89.40845	1.88870	0
U00290	2023-07-25	7.87844	19.04307	22.32532	8.56843	4.02627	1.74963	25.80751	55.64367	74.91366	10.02748	0
U00895	30 Sep 2023	1.71968	20.54470	41.94829	8.28996	3.31157	1.99095	26.69090	25.65475	74.87767	9.05584	0
U01216	2023-02-17	8.66714	26.89277	76.29699	8.05819	2.95750	1.55760	25.68953	22.97994	76.98007	9.14988	0
U01901	2023-07-16	3.09663	30.26391	62.69846	9.20588	4.56910		24.82920	71.33693	89.24005	9.55721	1
U01306	22 Nov 2023	7.83813	40.29656	69.19770	8.91683	3.61945	1.49710	24.11031	94.49855	71.72056	7.09054	0
U00218	2023/07/18	5.08696	35.92233	79.41143	9.79947	4.62912	2.27344	23.38860	81.10368	76.57522	6.99632	0
U00969	05 Jan 2023	5.44799	29.11326	60.07129	9.04676	4.16421	1.51546	27.44598	80.93982	59.07210	8.52676	0
U01682	2023/12/20	3.95172	16.42080	42.87019	9.86414	4.35753	1.92042	24.21778	50.01983	72.96037	8.44663	0
U01672	2023/12/12	7.69135	14.42997	65.91158	8.58786	3.52335	3.05938	23.39601	91.71973	80.73315	10.12448	0
U00827	09/16/2023, 19:42:00	7.67935	16.28099	71.39258	8.42865	3.72908	2.23968	30.29063	31.43119	82.07925	4.25173	0
U01346	2023/03/07	3.67524	17.03836	42.31226	9.51605	4.40767	1.53126	26.88185	32.31721	87.03110	14.45066	0
U01363	2023/12/06	5.81881	23.88116	64.40722	9.00664	4.36185	1.65378	30.36578	90.94051	72.17260	1.49215	0
U00293	2023-04-26	5.09461	15.68602	45.76449	8.64138	3.73755		34.61629	11.57066	73.72088	6.60013	0
U01949	2023/04/07	5.56678	23.94118	75.45859	8.49952	3.34531	3.83047	29.96509	89.72020	79.23154	9.14433	0
U00857	20 Jun 2023	7.95335	42.09520	49.84536	8.54785	3.32922	2.36511	28.52288	23.82311	76.68632	7.61252	0
U00159	09/10/2023, 17:22:00	5.87754	16.75029	40.08801	8.28637	3.36447	2.22776	30.50326	49.25263	78.71955	12.70789	0
U00186	03/27/2023, 14:45:00	4.92886	13.37950	65.01361	7.69850	3.07841	2.18064	26.14208	70.88369	73.56376	4.74236	0
U01339	28 Apr 2023	6.16148	17.64273	75.86356	8.22136	2.86119	3.54634	26.53549	19.64543	77.30057	8.01752	0
U01138	08/15/2023, 23:16:00	7.80308	17.99429	64.81875	7.97281	3.29840	2.75991	26.61381	71.27694	70.78387	10.03911	0
U00189	08 Sep 2023	4.47315	62.07126	56.35778	8.07199	3.13591	2.22714	24.44755	45.29021	73.57046	1.58369	0
U01453	05/27/2023, 21:16:00	3.41076	15.50057	68.95550	8.14040	3.60873	2.67291	24.18343	12.43006	82.52430	8.65246	0
U01085	16 Apr 2023	4.64224	20.75279	43.03899	8.96489	4.36189	2.22782	29.24385	58.81080	77.42242	3.38894	1
U01975	09/03/2023, 17:15:00	2.51712	43.99676	74.24536	8.65619	3.87498	3.05261	32.12070	68.53707	68.46237	11.14042	0
U00208	05 Dec 2023	6.16274	20.51545	38.95652	8.46447	3.67737	1.11143	16.87634	21.84727	77.18882	3.52927	0
U01765	09/22/2023, 22:33:00	9.77877	51.21459	55.49882	9.63677	4.35765		27.47586	11.68013	75.02859	9.72307	0
U00999	15 Sep 2023	3.66337	21.27345	54.35881	8.48778	3.25650	1.62980	28.43442	18.86600	72.98705	8.99367	0
U90241	08/04/2023, 20:31:00	5.71663	25.05647	65.72924	7.31798	2.92266	2.53448	27.01282	13.38630	76.25476	8.43977	0
U00339	03/01/2023, 11:04:00	4.98094	35.01419	50.86619	8.65463	3.83986	3.14572	28.12647	64.77885	72.92946	5.10687	0
U00913	2023/02/14	6.97724	36.50158	54.34195	8.70924	3.75158	3.29338	25.34402	35.23675	75.06108	7.26325	0
U01358	07/19/2023, 19:17:00	2.01970	9.88768	76.17517	8.53096	3.03984	5.52547	21.69550	73.51229	74.34048	8.10859	0
U00064	02 Feb 2023	7.26560	32.94914	39.44548	7.00567	2.08044	3.53417	35.30079	67.09835	67.33926	8.52227	0
U00602	02 Aug 2023	6.03718	42.03443	40.57353	10.17705	5.27797	1.02747	25.84417	51.58697	81.31950	0.35127	0
U00556	25 May 2023	8.68080	14.42790	55.77091	9.67176	4.11297	2.39310	31.70867	74.18686	73.81581	7.67051	0
U00187	22 Apr 2023	2.64490	17.57257	48.23526	8.58543	3.66703	2.27923	21.82646	20.36264	70.49134	12.83412	1
U01870	2023-09-24	3.35352	25.46364	65.29828	8.72156	3.74111	4.47471	27.85599	53.26638	66.31582	10.58790	0
U01770	2023-07-19	5.74088	19.40693	44.83512	8.25464	2.96333	3.32395	35.78110		70.39212	10.72445	0
U00912	2023-10-04	5.79634	19.25545	46.31195	8.63580	3.72230	2.66669	26.05276	23.45067	81.00662	2.34243	1
U00723	15 Jan 2023	6.33911	19.35074	39.46685	9.33602	4.18942	1.50822	35.51870	12.46555	71.30856	10.59249	0
U01004	2023/09/21	5.99306	15.42975	49.51357	7.93174	3.10578	2.68312	24.15546	67.03219	71.80331	8.46940	0
U01802	2023-06-07	4.65574	17.44699	52.84803	8.69786	3.69802	6.70566	33.06286	37.37384	75.01438	5.15799	0
U01776	2023/08/26	2.84549	30.17495	65.24848	8.65439	3.51125	6.07135	29.38392	14.90343	79.08496	5.88174	1
U00483	07/02/2023, 08:53:00	3.54877	25.34946	69.95878	9.73872	4.90121	2.35360	30.93968	91.55979	84.51081	7.67209	0
U00320	11/24/2023, 23:03:00	6.55393	26.16798	47.43618	9.01615	3.52944	1.70822	20.09685	67.94557	79.66261	8.52242	0
U00263	18 Jan 2023	6.22253	25.75314	70.36818	9.36942	4.42611	2.44507	27.23027	46.57243	81.97557	11.74645	0
U00592	2023/02/08	7.80661	50.15943	33.44016	9.28880	4.02941	3.13075	23.53628	57.15591	79.53129	12.26424	0
U01911	11 Sep 2023	2.95457	30.05349	62.57014	8.14085	3.17611	2.07333	32.26611	62.12695	56.70936	4.96935	0
U00434	2023-05-22	2.46000	13.97579	49.63008	8.76351	3.59746	2.44751	27.05401	32.89988	72.68872	4.97148	0
U00910	08 Mar 2023	4.91231	25.24169	55.09973	9.11545	4.00448	3.01734	30.21232	33.92698	71.57900	3.21260	0
U01709	03/16/2023, 06:57:00	3.17763	17.18781	50.63372	7.16769	2.38531		31.99138	46.93109	65.59571	9.75733	1
U01381	2023-06-23	3.95930	39.45866	64.06806	8.48219	3.44041	1.92800	36.92411	63.32526	59.79884	8.20495	0
U01011	2023/06/20	3.76349	17.39166	41.37023	8.32998	3.62322	1.74354	31.13705	10.37028	74.43159	8.47285	1
U01922	2023/08/28	2.60585	40.23365	51.79665	7.86055	2.75503	5.18069	31.78575	72.60887	75.05173	5.94658	0
U00726	2023-09-26	4.48169	17.70763	59.57632	6.56166	1.91529		26.28338	44.32103	65.12457	7.29291	1
U00342	2023/09/24	6.60896	25.20663	55.77120	9.40365	3.78102	1.91484	29.60405	33.75207	68.48713	13.46346	0
U00512	2023/08/09	3.59869	34.59397	67.26685	8.04747	3.26265	3.17958	28.18575	39.83659	79.45872	-0.81134	0
U01354	2023-05-08	6.93940	29.95994	50.12076	9.10965	3.31326	1.95660	33.96567	59.93610	78.51550	8.15187	0
