codeFleet,depot_id,hours_service,model_code,line_code,manufacturer,overhaulLast,id_unit,year_commission,region_install,serial_number,ownerOperator,duty_class
FA,105,20874.10000,XC-7,L6,"Rivers, Welch and Hood","05/06/2023, 00:00:00",1,2019,Christinehaven,AJ-0056-27354,Huhn KGaA,3
FA,37,6896.40000,XC-7,L4,Walker Ltd,2024-01-15,2,2023,Zerbst,ED-7134-75911,Rädel Löwer AG,heavy
FE,36,8193.90000,APU-12,L4,Schenk GmbH,2023/01/19,3,2022,Guimarães,AT-0639-19922,Macedo Faria e Filhos,1
FB,102,18235.40000,APU-20,L6,Silva,2024-03-14,4,2019,Lake Amy,JW-3703-50512,Reinhardt,3
FB,11,11350.30000,XC-7,L5,Huhn KGaA,2019-05-07,5,2021,Fiães,UC-0462-35464,Leal Freitas S/A,1
FC,82,11153.30000,APU-20,L1,"Moore, Kennedy and Berger",2023-05-29,6,2021,Almada,GY-2700-89951,Heinrich, heavy 
FD,22,15397.10000,APU-15,L6,Christoph GmbH,2016-06-06,7,2020,Schleiz,FD-2134-04275,Reinhardt, 1 
FE,79,6780.10000,APU-20,L6,Teixeira,"12/24/2019, 00:00:00",8,2023,Angermünde,ST-8431-86902,Schenk GmbH,2
FB,100,6351.80000,XC-7,L4,Pinho Lopes Lda.,05 Apr 2021,9,2023,Harrisbury,DZ-5503-00465,Mitschke,H
FE,94,6540.80000,APU-20,L4,Trapp Langern OHG mbH,"04/16/2020, 00:00:00",10,2023,New Danielshire,VT-0076-65200,Macedo Faria e Filhos,heavy
FC,116,12194.60000,APU-15,L5,Huhn KGaA,2015/08/21,11,2021,Bad Freienwalde,QS-2799-82567,James PLC,heavy
FC,19,45000.00000,APU-15,L6,Kraushaar GbR,"10/10/2020, 00:00:00",12,2012,Torres Vedras,MP-3732-18867,Reinhardt,1
FE,112,18899.40000,APU-12,L5,Schenk GmbH,02 Mar 2022,13,2019,Bruchsal,FW-5765-86581,"Becker, Sanchez and Crawford",heavy
FE,43,7965.20000,APU-15,L1,Schenk GmbH,"05/24/2019, 00:00:00",14,2022,Nordhausen,RV-3522-37166,Ribeiro,normal
FB,42,2708.20000,APU-15,L1,"Carter, Kim and Allen",2020/03/04,15,2024,Genthin,EG-5585-47762,"Carter, Kim and Allen",normal
FB,17,9222.40000,APU-12,L6,Hermighausen Weinhold AG & Co. KG,18 Jan 2018,16,2022,Naila,CH-6250-89474,"Becker, Sanchez and Crawford",L
FE,39,10507.70000,XC-7,L3,"Hernandez, Malone and Smith",2017-09-24,17,2021,Sacavém,CJ-8732-31238,Rädel Löwer AG,L
FA,54,6999.40000,APU-12,L5,Rädel Löwer AG,20 Aug 2019,18,2023,Hensleyville,ZT-2430-31610,"Carter, Kim and Allen",2
FA,19,19589.60000,APU-12,L6,Mangold GbR,2017/01/25,19,2019,New Danielshire,NQ-7518-14042,"Barker, Henson and Neal",light
FD,19,18658.80000,XC-7,L5,Trapp Langern OHG mbH,"02/04/2022, 00:00:00",20,2019,Nordhausen,SI-7152-99924,Trevino-Turner,1
